created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 05 23:44:42 +0000 2023;1687972931761258497;"Terbaik emg.. arahan bu Mega ke Ganjar Pranowo sebagai capres.. wajib sejahterakan rakyat, ladasan ideologi tak boleh bergeser 🔥🔥 #GanjarPresiden  #GanjarPenuhPrestasi Tidur Malming Banjingan Tolol Mason Mount Malam Minggu Siwon Onana Tinggi #gear5 Garnacho #Gempa https://t.co/mSWG4SXuuH";0;13;5;19;in;949898131876978689;1687972931761258497;Mrbattousai;https://twitter.com/Mrbattousai/status/1687972931761258497
Sat Aug 05 23:40:49 +0000 2023;1687971953456599040;"@Bambangmulyonoo Capres goblok bloon";0;0;0;0;en;1005229280589213697;1687670097605963776;MoeliaSalam;https://twitter.com/MoeliaSalam/status/1687971953456599040
Sat Aug 05 23:40:41 +0000 2023;1687971921437261824;"Gibran menolak dikaitkan sebagai Capres Prabowo https://t.co/RMPl3Zaafy";0;1;0;0;in;1564522329861853184;1687971908141400065;banu83999969;https://twitter.com/banu83999969/status/1687971921437261824
Sat Aug 05 23:39:13 +0000 2023;1687971550363082753;"@AndiSinulingga Lumayan sdh bisa nambah pengalaman lagi, pernah jadi jubir, skrg sdh bisa jadi jurkam partai.  Kalau jadi capres itu mimpi yg terlalu jauh. Cukup jurkam partai, itu sdh bagus. 🤣🤣";0;0;0;0;in;1423349409840975873;1687682504386605058;streetlawyers85;https://twitter.com/streetlawyers85/status/1687971550363082753
Sat Aug 05 23:38:17 +0000 2023;1687971314831958016;"@tvOneNews Salut banget sih capres satu ini ga kenal lelah terus kampanye keliling Indonesia padahal belom waktunya 😌";0;4;1;8;in;1558043392868696064;1687830459370389504;txtdrwumbo;https://twitter.com/txtdrwumbo/status/1687971314831958016
Sat Aug 05 23:37:21 +0000 2023;1687971080584179713;"Komentari Gugatan Usia Capres-Cawapres, PDIP: Yang Sudah Ada, Kita Jalankan https://t.co/8hRVOySZSZ";1;1;23;30;in;887743587579944960;1687971080584179713;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1687971080584179713
Sat Aug 05 23:37:00 +0000 2023;1687970993917333505;"@kompascom Yg jelas , Negara asing yg dirugikan oleh kebijakan Jokowi untuk membuat INA maju , tidak ingin presiden selanjutnya meneruskan kebijakan tersebut ... anda kan bisa menilai sendiri siapa capres dan partai  yg punya semboyan perubahan , menurut sy mereka ini sudah jd antek Asing.";0;0;0;0;in;796648037837742080;1687834357191557120;tugunkri;https://twitter.com/tugunkri/status/1687970993917333505
Sat Aug 05 23:35:52 +0000 2023;1687970707303788544;"@musashi_masabi @prabowo @Gerindra Mhn maaf Yai emang Cak Gus @cakimiNOW laku gitu.... Jdi Cawapres? kan mau jdi capres aja gada yg dukung dari partai2 lain. Miris sihhh @DPP_PKB katanya partai NU tapi.... Kalo emang bener PKB milik Nahdliyyin y Munaslub lah pilih Ketumnya yg di dukung  semua warga Nahdliyyin 🙏";0;1;0;1;in;870971133268447232;1687479578879737856;InnaFaqis;https://twitter.com/InnaFaqis/status/1687970707303788544
Sat Aug 05 23:35:44 +0000 2023;1687970675573805056;"@MichelAdam7__ Yg waras pasti pilih Anies kecuali ada yg lebih baik dri Anies klo Prabowo jelas akan melanjutkan sgla kebijkn jkw yg mrugikan rkyt ! Ganjar ! Bapak doyan nonton bokep! Masih menjabat gubernur kampanye capres bknkah menunjukkan Ganjar bermental korup??";0;1;1;1;in;1455141099870191617;1687738500500865024;imriatitriyanto;https://twitter.com/imriatitriyanto/status/1687970675573805056
Sat Aug 05 23:33:30 +0000 2023;1687970111356018688;"@ch_chotimah2 @ganjarpranowo Hanya PEMUDA MUHAMMADIYAH YANG DUNGU TAK BERMORAL saja yg mau menyerahkan Pemimpin Bangsa Indonesia kpd CAPRES HOBI NONTON BOKEP";0;0;0;0;in;1675138913202233352;1687681720638914562;AveroMutta20655;https://twitter.com/AveroMutta20655/status/1687970111356018688
Sat Aug 05 23:31:22 +0000 2023;1687969576888504320;"@AREAJULID kalau di wakanda62 bisa jadi capres https://t.co/zWapJ6ECqQ";0;0;0;1;in;1029360204805300226;1687837318630326273;3adhidon;https://twitter.com/3adhidon/status/1687969576888504320
Sat Aug 05 23:30:57 +0000 2023;1687969472660004865;"Siapa Guntur Romli? Pilih Mundur dari PSI yang Mulai Dekat dengan Prabowo, Fokus jadi Relawan Ganjar  #Prabowo #Ganjar #Capres #Pilpres2024 #PSI #GunturRomli   https://t.co/S9ej7fq7kv lewat @tribunkaltim";0;0;0;0;in;103551225;1687969472660004865;tribunkaltim;https://twitter.com/tribunkaltim/status/1687969472660004865
Sat Aug 05 23:30:55 +0000 2023;1687969463675854848;"#10Agustus2023MogokNasional   Capres Anies Rasyid Baswedan? tnp kampanye? insyaa Allah menang, jk KPU independen/amanah di pilpres 2024.Utk itu parpol pengusung Anies fokuslah hentikan diduga KPU curang. No quick count.KPU pusat cukup rekap hasil hitung manual pd tiap provinsi. https://t.co/1NL45yzJDO";0;0;10;17;in;1482600556669460485;1687969463675854848;ForRezim;https://twitter.com/ForRezim/status/1687969463675854848
Sat Aug 05 23:29:31 +0000 2023;1687969109206867968;"@tvOneNews ini media memang lapar sama klik  semua capres diberitakan diteriaki presiden  emang Jokowi teriak²  😂😂😂";0;1;0;0;in;2253520212;1687830459370389504;rejeki_h4l4l;https://twitter.com/rejeki_h4l4l/status/1687969109206867968
Sat Aug 05 23:23:26 +0000 2023;1687967579103739904;"@lek_brewok Ayah wowo tenggelamkan saja biar jadi capres abadi";0;0;0;0;in;1027456712;1687857083897741312;mioarip;https://twitter.com/mioarip/status/1687967579103739904
Sat Aug 05 23:22:55 +0000 2023;1687967449906388993;"@waraujo64 @nuevasideas @XZablah Y por qué no pide que echen a Alejandro de CAPRES?";0;0;0;0;es;1276521688033787905;1687958021098373121;LoEspino1;https://twitter.com/LoEspino1/status/1687967449906388993
Sat Aug 05 23:14:18 +0000 2023;1687965281015173120;"@psi_id Yg tadinya mungkin bisa partai yg bisa di banggakan.. Eh ternyata membelot ke capres Cendana dan orde baru..";0;0;0;1;in;623534401;1687766627792953344;HeriiSetiadi;https://twitter.com/HeriiSetiadi/status/1687965281015173120
Sat Aug 05 23:13:43 +0000 2023;1687965133237276672;"@aniesbaswedan @zoelnasution1 @PKSejahtera @pksjabar #MisteriPemiluCurang2019  Capres Anies Rasyid Baswedan? tnp kampanye? insyaa Allah menang, jk KPU independen / amanah di pilpres 2024.Utk itu parpol pengusung Anies fokuslah utk hentikan diduga KPU curang. No quick count.KPU pusat cukup rekap hasil hitung manual pd tiap provinsi. https://t.co/b5mY2mwtcj";0;0;4;7;in;1482600556669460485;1687742944097554432;ForRezim;https://twitter.com/ForRezim/status/1687965133237276672
Sat Aug 05 23:12:17 +0000 2023;1687964774930522112;"@Jinjit_jinjit Biasa itu deket cuma mau butuh suaranya dari keluarga pak @jokowi aka @gibran_tweet dan pendukung nya saja,, takut akan g dapet suara dari basis pendukung setelah dengan pongah dimenolak kemauan presiden acara U20,,yg begitu lah dijadikan capres 😓😓🤮🤮🤭😂😂";0;0;0;0;in;1629463625889873921;1687639209157468160;Haikal88651720;https://twitter.com/Haikal88651720/status/1687964774930522112
Sat Aug 05 23:11:24 +0000 2023;1687964552334618624;"@susipudjiastuti capres dan cawapres periode 2024-2029";0;0;0;0;in;1570242773877657600;1687668120872275968;justoes13;https://twitter.com/justoes13/status/1687964552334618624
Sat Aug 05 23:10:40 +0000 2023;1687964366405357568;"@psi_id harusnya sadar di parlemen blm dapat kursi, malah paling duluan  ngurusin copras capres .. macam dari kadernya sendiri capresnya";0;0;0;0;in;497658070;1687766627792953344;lookaroundspin;https://twitter.com/lookaroundspin/status/1687964366405357568
Sat Aug 05 23:10:18 +0000 2023;1687964274617155584;"Fakta anies capres merakyat?? Yang ada capres pembual https://t.co/CKPXqlUwsn";0;0;0;0;in;2550013568;1687964274617155584;ozzaf13;https://twitter.com/ozzaf13/status/1687964274617155584
Sat Aug 05 23:09:27 +0000 2023;1687964060305010689;"@dapitnih @PKSejahtera @aniesbaswedan PKS bikin Capres sendiri aja..";0;0;0;0;in;1562004766947160066;1687722264945635328;nuryadirahman7;https://twitter.com/nuryadirahman7/status/1687964060305010689
Sat Aug 05 23:03:50 +0000 2023;1687962646702854144;"@AREAJULID Tag ke salah satu Capres min! Kasih tau dia";0;0;0;0;in;757748744443928576;1687837318630326273;rulzsoul;https://twitter.com/rulzsoul/status/1687962646702854144
Sat Aug 05 23:00:27 +0000 2023;1687961794948792320;"@KakekHalal @ulinyusron Numpang tanya emangnya ada capres yg minta Gibran jadi Cawapres ? Rasa rasanya gak ada,karena semua capres tau umur Gibran masih dibawah umur persyaratan Capres/cawapres.";0;4;0;6;in;1573131585180016640;1687855923044446208;Moehamat22;https://twitter.com/Moehamat22/status/1687961794948792320
Sat Aug 05 22:58:44 +0000 2023;1687961364151828480;"@Dennysiregar7 PDIP emang paten dlm memilih capres. Patuh dan ikhlas jd petugas mereka. Alhamdulillah stelah bertahun2 berjuang PDIP akhirnya jd penguasa. Dua periode cukup bg rakyat tahu siapa mrk. Smoga mrk ga penasaran lg jd pemenang krn stelah th 2024 smga Allah blg cukup sudah.";0;0;0;0;in;1036032158488391682;1687789591343120384;makrete;https://twitter.com/makrete/status/1687961364151828480
